Model,Best Params,RMSE
CatBoost,"{'model': 'CatBoost', 'iterations': 215, 'depth': 10, 'learning_rate': 0.04500694440432648, 'l2_leaf_reg': 7}",0.5205920490351682
RandomForest,"{'model': 'RandomForest', 'n_estimators': 329, 'max_depth': 12, 'min_samples_split': 2, 'min_samples_leaf': 2}",0.5300889155927617
LightGBM,"{'model': 'LightGBM', 'n_estimators': 141, 'learning_rate': 0.16490182368168216, 'num_leaves': 33, 'max_depth': 16}",0.5404979706149274
LightGBM,"{'model': 'LightGBM', 'n_estimators': 270, 'learning_rate': 0.08821239448687357, 'num_leaves': 33, 'max_depth': 18}",0.5364519099675958
RandomForest,"{'model': 'RandomForest', 'n_estimators': 290, 'max_depth': 20, 'min_samples_split': 4, 'min_samples_leaf': 4}",0.5335500956503063
LightGBM,"{'model': 'LightGBM', 'n_estimators': 208, 'learning_rate': 0.18606149030241517, 'num_leaves': 38, 'max_depth': 15}",0.563068290127533
RandomForest,"{'model': 'RandomForest', 'n_estimators': 450, 'max_depth': 20, 'min_samples_split': 9, 'min_samples_leaf': 1}",0.5355833882103349
XGBoost,"{'model': 'XGBoost', 'n_estimators': 250, 'max_depth': 4, 'learning_rate': 0.17820023150523184, 'subsample': 0.7383988066533594}",0.544325731221525
LightGBM,"{'model': 'LightGBM', 'n_estimators': 173, 'learning_rate': 0.10626912000882012, 'num_leaves': 34, 'max_depth': 13}",0.5360427171041117
CatBoost,"{'model': 'CatBoost', 'iterations': 164, 'depth': 10, 'learning_rate': 0.03292871154271575, 'l2_leaf_reg': 3}",0.5181981464532616
CatBoost,"{'model': 'CatBoost', 'iterations': 102, 'depth': 5, 'learning_rate': 0.011135187607949154, 'l2_leaf_reg': 3}",0.5815634508932821
CatBoost,"{'model': 'CatBoost', 'iterations': 224, 'depth': 10, 'learning_rate': 0.03308230092344153, 'l2_leaf_reg': 7}",0.5183824277198597
ExtraTrees,"{'model': 'ExtraTrees', 'n_estimators': 58, 'max_depth': 30, 'min_samples_split': 10, 'min_samples_leaf': 4}",0.5327165190943248
CatBoost,"{'model': 'CatBoost', 'iterations': 182, 'depth': 10, 'learning_rate': 0.028850579399691576, 'l2_leaf_reg': 5}",0.5178612655267745
CatBoost,"{'model': 'CatBoost', 'iterations': 148, 'depth': 9, 'learning_rate': 0.02351160452804763, 'l2_leaf_reg': 3}",0.5177823644127073
CatBoost,"{'model': 'CatBoost', 'iterations': 149, 'depth': 8, 'learning_rate': 0.010310922219271592, 'l2_leaf_reg': 5}",0.5503585692058104
XGBoost,"{'model': 'XGBoost', 'n_estimators': 103, 'max_depth': 3, 'learning_rate': 0.07297960783316648, 'subsample': 0.9870832471750969}",0.5196728754143325
ExtraTrees,"{'model': 'ExtraTrees', 'n_estimators': 496, 'max_depth': 30, 'min_samples_split': 7, 'min_samples_leaf': 1}",0.5425474263603061
CatBoost,"{'model': 'CatBoost', 'iterations': 291, 'depth': 8, 'learning_rate': 0.02619875030478603, 'l2_leaf_reg': 5}",0.5174765421875432
CatBoost,"{'model': 'CatBoost', 'iterations': 300, 'depth': 7, 'learning_rate': 0.022636432016886303, 'l2_leaf_reg': 4}",0.5165875982199805
